created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-04-21T19:04:46+00:00,825,,0,,1,,,,
2024-04-21T19:05:08+00:00,826,,1,,1,,,,
2024-04-21T19:05:31+00:00,827,,1,,1,,,,
2024-04-21T19:05:53+00:00,828,,1,,1,,,,
2024-04-21T19:06:16+00:00,829,,1,,1,,,,
2024-04-21T19:06:38+00:00,830,,1,,1,,,,
2024-04-21T19:07:01+00:00,831,,1,,1,,,,
2024-04-21T19:07:25+00:00,832,,1,,1,,,,
2024-04-21T19:07:47+00:00,833,,1,,1,,,,
2024-04-21T19:08:09+00:00,834,,1,,1,,,,
2024-04-21T19:08:32+00:00,835,,1,,1,,,,
2024-04-21T19:08:54+00:00,836,,1,,1,,,,
2024-04-21T19:09:16+00:00,837,,1,,1,,,,
2024-04-21T19:09:38+00:00,838,,1,,1,,,,
2024-04-21T19:10:00+00:00,839,,1,,1,,,,
2024-04-21T19:10:22+00:00,840,,1,,1,,,,
2024-04-21T19:10:45+00:00,841,,1,,1,,,,
2024-04-21T19:11:07+00:00,842,,1,,1,,,,
2024-04-21T19:11:29+00:00,843,,1,,1,,,,
2024-04-21T19:11:51+00:00,844,,1,,1,,,,
2024-04-21T19:12:14+00:00,845,,1,,1,,,,
2024-04-21T19:12:36+00:00,846,,1,,1,,,,
2024-04-21T19:12:59+00:00,847,,1,,1,,,,
2024-04-21T19:13:21+00:00,848,,1,,1,,,,
2024-04-21T19:13:43+00:00,849,,1,,1,,,,
2024-04-21T19:14:05+00:00,850,,1,,1,,,,
2024-04-21T19:14:28+00:00,851,,1,,1,,,,
2024-04-21T19:14:50+00:00,852,,1,,1,,,,
2024-04-21T19:15:12+00:00,853,,1,,1,,,,
2024-04-21T19:15:35+00:00,854,,1,,1,,,,
2024-04-21T19:15:57+00:00,855,,1,,1,,,,
2024-04-21T19:16:19+00:00,856,,1,,1,,,,
2024-04-21T19:16:41+00:00,857,,1,,1,,,,
2024-04-21T19:17:07+00:00,858,,1,,0,,,,
2024-04-21T19:17:29+00:00,859,,1,,1,,,,
2024-04-21T19:17:52+00:00,860,,1,,1,,,,
2024-04-21T19:18:30+00:00,861,,1,,0,,,,
2024-04-21T19:18:52+00:00,862,,1,,1,,,,
2024-04-21T19:19:15+00:00,863,,1,,1,,,,
2024-04-21T19:19:37+00:00,864,,1,,1,,,,
2024-04-21T19:19:59+00:00,865,,1,,1,,,,
2024-04-21T19:20:22+00:00,866,,1,,1,,,,
2024-04-21T19:20:44+00:00,867,,1,,1,,,,
2024-04-21T19:21:07+00:00,868,,1,,1,,,,
2024-04-21T19:21:29+00:00,869,,1,,1,,,,
2024-04-21T19:21:51+00:00,870,,1,,1,,,,
2024-04-21T19:22:14+00:00,871,,1,,1,,,,
2024-04-21T19:22:36+00:00,872,,1,,1,,,,
2024-04-21T19:22:58+00:00,873,,1,,1,,,,
2024-04-21T19:23:20+00:00,874,,1,,1,,,,
2024-04-21T19:23:42+00:00,875,,1,,1,,,,
2024-04-21T19:24:05+00:00,876,,1,,1,,,,
2024-04-21T19:24:27+00:00,877,,1,,1,,,,
2024-04-21T19:25:09+00:00,878,,0,,0,,,,
2024-04-21T19:25:32+00:00,879,,1,,0,,,,
2024-04-21T19:25:54+00:00,880,,1,,0,,,,
2024-04-21T19:26:16+00:00,881,,1,,0,,,,
2024-04-21T19:26:39+00:00,882,,1,,0,,,,
2024-04-21T19:27:01+00:00,883,,1,,0,,,,
2024-04-21T19:27:24+00:00,884,,1,,1,,,,
2024-04-21T19:27:46+00:00,885,,1,,1,,,,
2024-04-21T19:28:09+00:00,886,,0,,1,,,,
2024-04-21T19:28:31+00:00,887,,0,,1,,,,
2024-04-21T19:28:53+00:00,888,,0,,1,,,,
2024-04-21T19:29:15+00:00,889,,0,,1,,,,
2024-04-21T19:29:37+00:00,890,,0,,1,,,,
2024-04-21T19:29:59+00:00,891,,0,,1,,,,
2024-04-21T19:39:36+00:00,892,,1,,1,,,,
2024-04-21T19:39:58+00:00,893,,1,,1,,,,
2024-04-21T19:40:20+00:00,894,,1,,1,,,,
2024-04-21T19:40:43+00:00,895,,1,,1,,,,
2024-04-21T19:41:05+00:00,896,,1,,1,,,,
2024-04-21T19:41:28+00:00,897,,1,,1,,,,
2024-04-21T19:41:50+00:00,898,,1,,1,,,,
2024-04-21T19:42:12+00:00,899,,1,,1,,,,
2024-04-21T19:42:35+00:00,900,,1,,1,,,,
2024-04-22T16:10:20+00:00,901,,0,,0,,,,
2024-04-22T16:10:42+00:00,902,,0,,0,,,,
2024-04-22T16:15:46+00:00,903,,0,,0,,,,
2024-04-22T16:16:08+00:00,904,,0,,0,,,,
2024-04-22T16:16:30+00:00,905,,0,,0,,,,
2024-04-22T16:16:53+00:00,906,,0,,0,,,,
2024-04-22T16:17:15+00:00,907,,0,,0,,,,
2024-04-22T16:17:37+00:00,908,,0,,0,,,,
2024-04-22T16:17:59+00:00,909,,0,,0,,,,
2024-04-22T16:18:21+00:00,910,,0,,0,,,,
2024-04-22T16:18:43+00:00,911,,0,,0,,,,
2024-04-22T16:19:05+00:00,912,,0,,0,,,,
2024-04-22T16:19:50+00:00,913,,0,,1,,,,
2024-04-22T16:20:33+00:00,914,,0,,0,,,,
2024-04-22T16:22:15+00:00,915,,1,,0,,,,
2024-04-22T16:22:37+00:00,916,,1,,1,,,,
2024-04-22T16:22:59+00:00,917,,1,,1,,,,
2024-04-22T16:23:21+00:00,918,,1,,1,,,,
2024-04-22T16:23:43+00:00,919,,1,,1,,,,
2024-04-22T16:24:05+00:00,920,,1,,1,,,,
2024-04-22T16:24:27+00:00,921,,1,,1,,,,
2024-04-22T16:24:49+00:00,922,,1,,1,,,,
2024-04-22T16:25:12+00:00,923,,1,,1,,,,
2024-04-22T16:26:05+00:00,924,,0,,1,,,,
2024-04-22T16:26:27+00:00,925,,1,,1,,,,
2024-04-22T16:26:49+00:00,926,,1,,1,,,,
2024-04-22T16:27:11+00:00,927,,1,,1,,,,
2024-04-22T16:27:33+00:00,928,,1,,1,,,,
2024-04-22T16:27:55+00:00,929,,1,,1,,,,
2024-04-22T16:28:18+00:00,930,,1,,1,,,,
2024-04-22T16:28:40+00:00,931,,1,,1,,,,
2024-04-22T16:29:02+00:00,932,,1,,1,,,,
2024-04-22T16:29:24+00:00,933,,1,,1,,,,
2024-04-22T16:29:46+00:00,934,,1,,1,,,,
2024-04-22T16:30:08+00:00,935,,1,,1,,,,
2024-04-22T16:30:31+00:00,936,,1,,1,,,,
2024-04-22T16:30:53+00:00,937,,1,,1,,,,
2024-04-22T16:31:15+00:00,938,,1,,1,,,,
2024-04-22T16:31:37+00:00,939,,1,,1,,,,
2024-04-22T16:31:59+00:00,940,,1,,1,,,,
2024-04-22T16:32:22+00:00,941,,1,,1,,,,
2024-04-22T16:32:44+00:00,942,,1,,1,,,,
2024-04-22T16:33:06+00:00,943,,1,,1,,,,
2024-04-22T16:33:28+00:00,944,,1,,1,,,,
2024-04-22T16:33:50+00:00,945,,1,,1,,,,
2024-04-22T16:34:12+00:00,946,,1,,1,,,,
2024-04-22T16:34:34+00:00,947,,1,,1,,,,
2024-04-22T16:34:56+00:00,948,,1,,1,,,,
2024-04-22T16:35:19+00:00,949,,1,,1,,,,
2024-04-22T16:35:41+00:00,950,,1,,1,,,,
2024-04-22T16:36:03+00:00,951,,1,,1,,,,
2024-04-22T16:36:25+00:00,952,,1,,1,,,,
2024-04-22T16:36:47+00:00,953,,1,,1,,,,
2024-04-22T16:37:10+00:00,954,,1,,1,,,,
2024-04-22T16:37:32+00:00,955,,1,,1,,,,
2024-04-22T16:37:54+00:00,956,,1,,1,,,,
2024-04-22T16:38:16+00:00,957,,1,,1,,,,
2024-04-22T16:38:38+00:00,958,,1,,1,,,,
2024-04-22T16:39:00+00:00,959,,1,,1,,,,
2024-04-22T16:39:22+00:00,960,,1,,1,,,,
2024-04-22T16:39:44+00:00,961,,1,,1,,,,
2024-04-22T16:40:06+00:00,962,,1,,1,,,,
2024-04-22T16:40:29+00:00,963,,1,,1,,,,
2024-04-22T16:40:51+00:00,964,,1,,1,,,,
2024-04-22T16:41:13+00:00,965,,1,,1,,,,
2024-04-22T16:41:35+00:00,966,,1,,1,,,,
